Account,Won,Webinar,Conference,Website,Preqs,Trials,MKT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
Mentor - Embedded Systems Division,2700,1,2,1,0,0,2,0,0,0,2,2,1247
Barclays UK,2673,10,75,2,0,2,96,4,0,1,99,28,4138
webadeo,2628,0,0,0,0,0,0,0,0,0,0,0,0
IQVIA fka IMS Health,2600,4,1,3,0,1,8,0,0,0,262,9,1831
Pitney Bowes Inc.,2565,11,88,5,0,1,103,0,1,1,184,15,4908
New York Life,2551,3,5,1,0,0,20,0,0,0,383,7,1070
Yale University,2545,0,4,1,0,0,5,0,0,0,20,6,1119
Apple Inc [Strategic Data Solutions - Manufacturing Quality] (child),2516,0,0,0,0,0,0,0,0,0,0,0,0
Core Digital Media,2500,0,1,0,0,0,2,0,0,1,6,2,260
Swedish Employment Service (Arbetsförmedlingen),2355,0,3,0,0,0,4,4,0,0,19,2,412
"Brainshark, Inc.",2300,0,2,0,0,0,3,0,0,0,15,3,600
Alm Brand,2251,1,0,0,0,0,1,0,0,0,10,3,1002
Cloud9 Technologies,2250,0,0,0,0,0,0,0,0,0,6,2,1235
Allianz UK,2227,3,9,1,0,0,11,0,0,0,68,8,2191
Apple Online Store,2160,0,0,0,0,0,0,0,0,0,0,0,0
Evry Norge AS,2136,2,9,2,0,2,14,0,0,1,25,13,3479
