Account,Lost,Webinar,Conference,Website,Preqs,Trials,MKTT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
FICO,35000,3,4,5,0,2,126,0,0,0,322,8,1108
Prosodie ( Capgeminie),34533,0,1,0,0,0,2,1,0,0,2,1,203
VIF,34533,0,2,1,1,0,4,0,0,1,4,1,237
Harmonic Inc.,34500,2,1,1,0,0,21,0,0,0,129,1,-287
Federal Aviation Administration,34178,2,13,1,1,0,83,0,0,0,90,5,671
Snap Inc.,33050,0,2,1,0,0,8,0,0,0,157,1,231
San Francisco International Airport,33000,0,0,0,0,0,0,1,0,0,16,0,-441
Twitter,33000,1,2,0,0,0,5,1,0,0,443,1,-1095
QINETIQ LTD,32474,0,0,0,0,0,0,0,0,0,1,0,-5
Intergrupo,31640,2,8,1,1,0,10,1,0,0,12,7,1728
Princess Cruises,31500,0,0,0,0,0,0,0,0,0,25,0,3
CARIS,31400,0,0,0,0,0,0,1,0,0,12,0,50
Albelli,30916,0,0,1,1,0,1,0,0,0,2,2,532
Scotiabank,30175,7,36,5,0,3,56,3,0,0,451,33,6309
ADESA Auctions Canada Corporation,30000,2,1,1,1,0,3,0,0,0,18,2,53
Avnet,30000,3,2,3,0,1,10,0,0,0,135,2,-77
Dish Network,30000,2,4,1,1,0,8,1,0,0,293,1,748
ITRS Group.,30000,0,0,2,1,1,2,0,0,0,2,2,551
Juniper Networks,30000,2,26,1,1,1,36,0,0,0,293,16,1817
U.S. Cellular,30000,5,8,2,1,0,51,1,0,0,129,6,2664
TriNet Group,29875,1,7,0,0,0,19,0,0,0,56,2,396
PAYBACK GmbH,29411,1,6,0,0,0,10,0,0,1,20,6,760
LEGO,28778,0,1,1,0,0,3,0,0,0,10,0,123
Plex Gmbh,28778,0,0,2,2,0,2,0,0,0,3,2,353
First Data Corporation,28750,2,7,2,0,0,22,0,1,1,234,1,600
Clinipace Worldwide,28000,0,0,0,0,0,0,1,0,0,14,0,-300
Dell HQ,27880,27,65,18,2,4,452,0,0,0,1096,39,9767
Harris Orthogon GmbH,27735,0,0,0,0,0,0,0,0,0,1,0,-150
Bottle Rocket Studios,27000,0,1,0,0,0,2,0,0,0,6,0,-50
Lucas Varity GmbH,26738,1,0,1,0,0,1,0,0,0,2,2,1040
Blacksky,26500,0,0,0,0,0,4,0,0,0,6,0,15
"Mentor, a Siemens Business",26500,15,20,3,1,0,32,0,0,0,472,12,3046
Thermo Fisher Scientific,26500,1,24,0,0,0,42,0,0,0,408,2,1086
Lucidworks  Inc.,26019,0,1,0,0,0,5,0,0,0,23,0,-147
ADT,26000,2,2,1,0,1,8,0,0,0,81,3,437
Honda North America  Inc.,26000,1,2,0,0,0,3,0,0,0,45,3,890
Office Depot,26000,8,11,4,2,1,26,0,1,1,113,13,2871
Telefonica Digital,26000,0,7,0,0,0,7,0,0,0,9,0,61
Fidessa PLC,25783,0,0,0,0,0,0,0,0,0,3,0,-250
HERE,25727,10,37,5,0,0,51,0,0,0,120,24,4542
Trivago,25300,0,11,1,0,1,12,1,0,0,14,1,59
"American Tire Distributors, Inc.",25000,0,3,1,0,0,14,0,0,0,63,2,795
Bank of New Zealand,25000,1,2,0,0,0,2,1,0,0,2,0,6
Grainger,25000,0,1,0,0,0,37,0,0,0,186,0,-63
"Roku, Inc.",25000,2,1,1,1,0,4,0,0,0,88,2,386
Room & Board,25000,0,0,0,0,0,1,1,0,0,3,0,0
Wawanesa Insurance,25000,1,2,2,1,0,5,0,0,0,46,1,407
Cognizant Technology Solutions,24975,118,117,73,7,33,344,0,0,0,566,158,37398
e.solutions GmbH,24716,3,0,2,1,0,5,0,0,0,12,4,902
AXA Konzern AG,24586,4,1,1,0,0,7,0,0,0,15,4,748
Kohler Co.,24550,0,3,0,0,0,5,0,0,0,35,0,80
"Matson, Inc.",24500,1,0,0,0,0,23,0,0,0,48,1,44
Swedbank AB,24072,1,1,2,0,0,5,0,0,0,62,3,1413
"Aspera, Inc",24000,0,2,0,0,0,3,0,0,0,18,0,37
Schneider Electric North America,24000,2,6,1,0,0,9,0,0,0,220,2,495
TransferWise,23952,0,2,1,1,0,4,0,0,0,5,1,100
TeamViewer GmbH,23828,0,3,1,1,0,4,0,0,0,5,2,326
Thales UK,23501,0,0,0,0,0,0,0,0,0,2,0,-47
UNILEVER U.K. CENTRAL RESOURCES LTD,23501,1,3,1,0,0,11,0,0,0,14,3,380
Demonware,23319,2,3,0,0,0,7,0,0,0,10,2,157
AGFA Healthcare,23022,0,0,0,0,0,0,0,0,0,8,0,0
Ericsson S.p.A.,23022,1,1,0,0,0,3,1,0,0,72,2,561
Kuwait Petroleum S.p.A. (Q8),23022,0,1,0,0,0,2,1,0,0,2,1,125
Michelin,23022,0,3,3,0,0,11,1,0,0,14,3,850
Pole Emploi,23022,0,1,0,0,0,2,1,0,0,8,1,91
Vincit,23022,1,1,1,1,0,2,0,0,0,4,2,621
Adaptive Insights  Inc.,23000,0,3,0,0,0,10,0,0,0,23,1,-47
Autobytel,23000,3,3,1,0,0,8,0,0,0,24,4,559
"Blue Cross & Blue Shield of Florida, Inc.",23000,2,3,2,0,0,27,0,0,0,154,1,598
"Bullhorn, Inc.",23000,1,0,0,0,0,4,0,0,0,160,2,515
ERT,23000,0,2,3,1,0,10,0,0,0,18,3,257
Mindtouch,23000,0,0,0,0,0,0,0,0,0,14,0,-47
Cielo SA,22440,9,16,7,0,3,29,3,0,0,35,5,1541
Unity Technologies,22000,0,2,0,0,0,2,0,0,0,23,0,-128
Spring Wireless,21800,0,0,0,0,0,0,1,0,0,1,0,-50
T-Systems International GmbH,21767,4,6,2,0,0,13,0,0,0,52,6,1884
Native Instruments,21634,1,2,1,0,1,3,0,0,0,4,1,643
Moog,21547,0,0,1,0,0,2,0,0,0,15,2,344
Snowflake Computing,21500,0,1,0,0,0,2,0,0,0,30,0,-126
Dealertrack Technologies,21400,0,0,1,0,0,7,0,0,0,86,2,269
Verimatrix,21300,4,3,1,0,1,10,0,0,0,70,1,568
Optum Technology,21273,68,117,15,1,1,202,1,0,0,221,42,11873
Avery Dennison,21000,1,0,0,0,0,12,0,0,0,89,0,6
CME Group,21000,7,13,0,0,0,42,0,0,0,436,4,623
Pace Communications,21000,0,0,0,0,0,1,0,0,0,7,0,-202
Toluna,21000,0,1,0,0,0,1,1,0,0,2,0,-25
Workday,21000,2,19,2,0,2,33,0,0,0,642,4,855
NATS LTD,20788,0,0,0,0,0,0,0,0,0,29,0,-250
Proquest,20750,1,5,0,0,0,9,0,0,0,66,1,-13
Merrill Corporation,20599,3,7,3,1,2,16,2,0,0,61,8,693
US Dept of State,20528,2,12,2,0,0,40,0,0,0,43,2,1367
Hazelcast,20500,0,0,0,0,0,3,0,0,0,29,0,-31
Agero,20000,2,1,2,2,1,4,0,0,0,40,4,667
Bill & Melinda Gates Foundation,20000,0,1,3,1,2,4,0,0,0,8,2,346
Billy Graham Evangelistic Association,20000,0,0,0,0,0,0,0,0,0,1,0,-150
Blue Cross Blue Shield of Kansas City,20000,0,1,1,0,0,10,1,1,0,42,1,238
Chalk,20000,0,0,1,1,0,2,0,0,0,4,1,0
Code 42 Software,20000,1,9,1,0,0,12,0,0,0,92,2,97
Credit Suisse North America,20000,2,4,2,0,0,9,0,0,0,71,2,511
David's Bridal,20000,0,0,0,0,0,2,0,0,0,7,1,50
Docmation,20000,0,0,1,1,1,1,0,0,0,3,1,377
Economical Insurance Group,20000,2,0,1,0,0,2,0,0,0,27,1,50
Elevate,20000,1,9,1,0,0,18,1,0,0,20,3,1218
General Dynamics Information Technology,20000,4,19,2,1,0,24,0,0,0,95,10,1438
Georgia State University,20000,0,4,1,1,0,7,0,0,0,8,1,274
Image API,20000,1,0,0,0,0,2,0,0,0,12,0,89
Indeed,20000,1,10,1,0,1,20,0,0,1,119,13,2145
Infinite Campus,20000,7,4,3,1,0,14,0,0,0,27,8,1762
Kubota,20000,1,0,0,0,0,5,0,0,0,7,1,49
Metagenics,20000,3,0,1,0,1,3,0,0,0,6,3,897
Moxie Interactive,20000,0,0,1,1,0,1,0,0,0,17,1,162
Narrative Science,20000,0,0,0,0,0,0,0,0,0,8,0,-247
Novu,20000,0,2,0,0,0,2,0,0,0,3,0,30
